Don't Limit,,,res://addons/gdsql/tabs/sql_file.tscn,Don't Limit,无限制,不限制列數,制限なし,제한 없음,Sin límite,Sem Limite,Sans limite,Kein Limit,Без ограничений,Senza limite,Bez limitu,Sınırsız
Limit to 10 rows,,,res://addons/gdsql/tabs/sql_file.tscn,Limit to 10 rows,限制10行,限制為 10 列,最大10行,10행 제한,Limitar a 10 filas,Limitar a 10 linhas,Limiter à 10 lignes,Auf 10 Zeilen begrenzen,Ограничить 10 строк,Limita a 10 righe,Ogranicz do 10 wierszy,10 Satırla Sınırla
Limit to 100 rows,,,res://addons/gdsql/tabs/sql_file.tscn,Limit to 100 rows,限制100行,限制為 100 列,最大100行,100행 제한,Limitar a 100 filas,Limitar a 100 linhas,Limiter à 100 lignes,Auf 100 Zeilen begrenzen,Ограничить 100 строк,Limita a 100 righe,Ogranicz do 100 wierszy,100 Satırla Sınırla
Limit to 1000 rows,,,res://addons/gdsql/tabs/sql_file.tscn,Limit to 1000 rows,限制1000行,限制為 1000 列,最大1000行,1000행 제한,Limitar a 1000 filas,Limitar a 1000 linhas,Limiter à 1000 lignes,Auf 1000 Zeilen begrenzen,Ограничить 1000 строк,Limita a 1000 righe,Ogranicz do 1000 wierszy,1000 Satırla Sınırla
Limit to 10000 rows,,,res://addons/gdsql/tabs/sql_file.tscn,Limit to 10000 rows,限制10000行,限制為 10000 列,最大10000行,10000행 제한,Limitar a 10000 filas,Limitar a 10000 linhas,Limiter à 10000 lignes,Auf 10000 Zeilen begrenzen,Ограничить 10000 строк,Limita a 10000 righe,Ogranicz do 10000 wierszy,10000 Satırla Sınırla
Limit to 100000 rows,,,res://addons/gdsql/tabs/sql_file.tscn,Limit to 100000 rows,限制100000行,限制為 100000 列,最大100000行,100000행 제한,Limitar a 100000 filas,Limitar a 100000 linhas,Limiter à 100000 lignes,Auf 100000 Zeilen begrenzen,Ограничить 100000 строк,Limita a 100000 righe,Ogranicz do 100000 wierszy,100000 Satırla Sınırla
GDSQL Graph File,,,res://addons/gdsql/tabs/sql_graph.gd:73,GDSQL Graph File,GDSQL图形设计文件,GDSQL 流程圖檔,GDSQLグラフファイル,GDSQL 그래프 파일,Archivo de gráfico GDSQL,Arquivo de Gráfico GDSQL,Fichier graphique GDSQL,GDSQL-Grafikdatei,Графический файл GDSQL,File grafico GDSQL,Plik graficzny GDSQL,GDSQL Grafik Dosyası
GDSQL GRAPH File,,,res://addons/gdsql/tabs/sql_graph.gd:109,GDSQL GRAPH File,GDSQL流程图文件,GDSQL 圖形檔,GDSQL図形ファイル,GDSQL 다이어그램 파일,Archivo de diagrama GDSQL,Arquivo GDSQL GRAPH,Fichier schéma GDSQL,GDSQL-Diagrammdatei,Схема GDSQL,File schema GDSQL,Plik schematu GDSQL,GDSQL Şema Dosyası
query,,,"res://addons/gdsql/tabs/sql_graph.gd:441
res://addons/gdsql/tabs/sql_graph.gd:2166",query,查询,查詢,クエリ,쿼리,Consultar,Consulta,Requête,Abfrage,Запрос,Query,Zapytanie,Sorgu
export,,,res://addons/gdsql/tabs/sql_graph.gd:764,export,导出,匯出,出力,내보내기,Exportar,Exportar,Exporter,Exportieren,Экспорт,Esporta,Eksportuj,Dışa Aktar
apply,,,"res://addons/gdsql/tabs/sql_graph.gd:895
res://addons/gdsql/tabs/sql_graph.gd:1387
res://addons/gdsql/tabs/sql_graph.gd:1536
res://addons/gdsql/tabs/sql_graph.gd:1659
res://addons/gdsql/tabs/sql_graph.gd:1753",apply,应用,套用,適用,적용,Aplicar,Aplicar,Appliquer,Anwenden,Применить,Applica,Zastosuj,Uygula
Check all,,,res://addons/gdsql/tabs/sql_graph.gd:990,Check all,全选,全選,全選択,전체 선택,Seleccionar todo,Marcar Tudo,Tout sélectionner,Alles auswählen,Выделить всё,Seleziona tutto,Zaznacz wszystko,Tümünü Seç
Conditions for this action if necessary.,,,res://addons/gdsql/tabs/sql_graph.gd:1003,Conditions for this action if necessary.,自定义操作条件,視需求自訂動作條件,必要に応じて動作条件を設定,필요 시 작업 조건 설정,Establece condiciones para esta acción si es necesario.,"Condições para esta ação, se necessário.",Définir des conditions pour cette action si nécessaire.,Bei Bedarf Bedingungen für diese Aktion festlegen.,Задать условия для операции при необходимости.,Imposta condizioni per l'azione se necessario.,"Ustaw warunki dla tej akcji, jeśli to konieczne.",Gerekirse bu işlem için koşullar ayarlayın.
Refresh the table. Actions that not have been executed will be discarded.,,,res://addons/gdsql/tabs/sql_graph.gd:1114,Refresh the table. Actions that not have been executed will be discarded.,刷新数据表，丢弃未执行的修改,重新整理資料表，捨棄未執行變更,テーブルを更新。未実行の変更は破棄されます。,"테이블 새로 고침, 미실행 변경 사항 삭제",Actualizar tabla. Los cambios no ejecutados se descartarán.,Atualizar a tabela. Ações não executadas serão descartadas.,Actualiser la table. Les actions non exécutées seront perdues.,Tabelle aktualisieren. Nicht ausgeführte Änderungen werden verworfen.,Обновить таблицу. Неприменённые изменения будут удалены.,Aggiorna tabella. Le modifiche non applicate verranno scartate.,Odśwież tabelę. Niezastosowane zmiany zostaną porzucone.,Tabloyu yenile. Uygulanmayan değişiklikler silinecektir.
"
[Tip]This button is disabled because this Result-node is not connected to a Select-node or the Select-node is not enabled.",,,res://addons/gdsql/tabs/sql_graph.gd:1119,"
[Tip]This button is disabled because this Result-node is not connected to a Select-node or the Select-node is not enabled.","
[提示]该按钮已禁用：结果节点未关联查询节点或查询节点未启用","
[提示]此按鈕已停用：結果節點未綁定查詢節點，或查詢節點未啟用","
[ヒント]このボタンは無効です。結果ノードが選択ノードに接続されていない、または選択ノードが無効です。","
[안내]이 버튼은 비활성화됨: 결과 노드가 선택 노드와 연결되지 않았거나 비활성 상태입니다.","
[Consejo] Este botón está desactivado: el nodo de resultado no está conectado a un nodo de selección o está inhabilitado.","
[Dica]Este botão está desativado porque este Nó de Resultado não está conectado a um Nó de Seleção ou o Nó de Seleção está desativado.","
[Conseil] Ce bouton est désactivé : le nœud résultat n'est pas connecté au nœud sélection ou est désactivé.",[Hinweis] Diese Schaltfläche ist deaktiviert: Der Ergebnis-Knoten ist nicht mit einem Auswahl-Knoten verbunden oder deaktiviert.,"
[Подсказка] Кнопка отключена: результирующий узел не подключён к узлу выбора или отключён.","
[Suggerimento] Questo pulsante è disabilitato: il nodo risultato non è connesso al nodo selezione o è disattivato.","
[Porada] Ten przycisk jest wyłączony: węzeł wyników nie jest połączony z węzłem wyboru lub jest nieaktywny.","
[İpucu] Bu buton devre dışı: Sonuç düğümü seçim düğümüne bağlı değil veya devre dışı."
revert,,,res://addons/gdsql/tabs/sql_graph.gd:1141,revert,还原,復原,元に戻す,복원,Revertir,Reverter,Restaurer,Wiederherstellen,Откатить,Ripristina,Przywróć,Geri Yükle
new,,,res://addons/gdsql/tabs/sql_graph.gd:1200,new,新建,新增,新規,새로 만들기,Nuevo,Novo,Nouveau,Neu,Создать,Nuovo,Nowy,Yeni
Press 'Ctrl' to add 10 new row.,,,res://addons/gdsql/tabs/sql_graph.gd:1201,Press 'Ctrl' to add 10 new row.,按住Ctrl一键新增10行,按下 Ctrl 可一次新增 10 列,Ctrlキー押下で10行一括追加,Ctrl 키 누르면 10행 한 번에 추가,Mantén presionado Ctrl para añadir 10 filas,Pressione 'Ctrl' para adicionar 10 novas linhas.,Maintenez Ctrl pour ajouter 10 lignes d'un coup.,"Strg gedrückt halten, um 10 Zeilen hinzuzufügen.",Зажмите Ctrl для добавления 10 строк.,Tieni premuto Ctrl per aggiungere 10 righe.,"Przytrzymaj Ctrl, aby dodać 10 wierszy naraz.",10 satırı tek seferde eklemek için Ctrl tuşuna basılı tutun.
Select All,,,res://addons/gdsql/tabs/sql_graph.gd:2962,Select All,全选,全選,全選択,전체 선택,Seleccionar todo,Selecionar Tudo,Tout sélectionner,Alles auswählen,Выделить всё,Seleziona tutto,Zaznacz wszystko,Tümünü Seç
Deselect All,,,res://addons/gdsql/tabs/sql_graph.gd:2970,Deselect All,取消全选,取消全選,選択解除,선택 취소,Deseleccionar todo,Desmarcar Tudo,Tout désélectionner,Auswahl aufheben,Снять выделение,Deseleziona tutto,Odznacz wszystko,Seçimi Kaldır
Revert,,,res://addons/gdsql/tabs/sql_graph.gd:2978,Revert,还原更改,復原變更,変更を元に戻す,변경 복원,Revertir cambios,Reverter Alterações,Restaurer les modifications,Änderungen rückgängig machen,Отменить изменения,Ripristina modifiche,Przywróć zmiany,Değişiklikleri Geri Yükle
Refresh the table. Modifications that not have been applied will be discarded.,,,res://addons/gdsql/tabs/sql_graph.gd:3101,Refresh the table. Modifications that not have been applied will be discarded.,刷新数据表，丢弃所有未应用的编辑内容,重新整理資料表，捨棄所有未套用編輯,テーブルを更新。未保存の編集は破棄されます。,"테이블 새로 고침, 적용되지 않은 수정 사항 삭제",Actualizar tabla. Las modificaciones no aplicadas se descartarán.,Atualizar a tabela. Modificações não aplicadas serão descartadas.,Actualiser la table. Les modifications non appliquées seront perdues.,Tabelle aktualisieren. Nicht übernommene Änderungen werden verworfen.,Обновить таблицу. Неприменённые правки будут удалены.,Aggiorna tabella. Le modifiche non salvate verranno scartate.,Odśwież tabelę. Niezapisane modyfikacje zostaną porzucone.,Tabloyu yenile. Kaydedilmemiş düzenlemeler silinecektir.
"
[Tip]This button is disabled because this Result-node is not connected to a Link-node or the Link-node is not enabled.",,,res://addons/gdsql/tabs/sql_graph.gd:3106,"
[Tip]This button is disabled because this Result-node is not connected to a Link-node or the Link-node is not enabled.","
[提示]该按钮已禁用：结果节点未关联关联节点或关联节点未启用","
[提示]此按鈕已停用：結果節點未綁定連結節點，或連結節點未啟用","
[ヒント]このボタンは無効です。結果ノードがリンクノードに接続されていない、またはリンクノードが無効です。","
[안내]이 버튼은 비활성화됨: 결과 노드가 연결 노드와 연결되지 않았거나 비활성 상태입니다.","
[Consejo] Este botón está desactivado: el nodo de resultado no está conectado a un nodo de enlace o está inhabilitado.","
[Dica]Este botão está desativado porque este Nó de Resultado não está conectado a um Nó de Ligação ou o Nó de Ligação está desativado.","
[Conseil] Ce bouton est désactivé : le nœud résultat n'est pas connecté au nœud liaison ou est désactivé.",[Hinweis] Diese Schaltfläche ist deaktiviert: Der Ergebnis-Knoten ist nicht mit einem Verbindungs-Knoten verbunden oder deaktiviert.,"
[Подсказка] Кнопка отключена: результирующий узел не подключён к узлу связи или отключён.","
[Suggerimento] Questo pulsante è disabilitato: il nodo risultato non è connesso al nodo collegamento o è disattivato.","
[Porada] Ten przycisk jest wyłączony: węzeł wyników nie jest połączony z węzłem połączenia lub jest nieaktywny.","
[İpucu] Bu buton devre dışı: Sonuç düğümü bağlantı düğümüne bağlı değil veya devre dışı."
(Save As) Save the script to a file,,,res://addons/gdsql/tabs/sql_graph.tscn,(Save As) Save the script to a file,（另存为）保存脚本文件,(另存新檔) 儲存指令稿至檔案,(名前を付けて保存) スクリプトをファイル保存,(다른 이름으로) 스크립트 저장,(Guardar como) Guardar script en archivo,(Salvar Como) Salvar o script em um arquivo,(Enregistrer sous) Enregistrer le script,(Speichern unter) Skript speichern,(Сохранить как) Сохранить скрипт,(Salva come) Salva script,(Zapisz jako) Zapisz skrypt,(Farklı Kaydet) Komut dosyasını kaydet
SELECT,,,res://addons/gdsql/tabs/sql_graph.tscn,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT,SELECT
LEFT JOIN,,,res://addons/gdsql/tabs/sql_graph.tscn,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,LEFT JOIN,SOL BİRLEŞTİR
INSERT,,,res://addons/gdsql/tabs/sql_graph.tscn,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,EKLE
UPDATE,,,res://addons/gdsql/tabs/sql_graph.tscn,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,GÜNCELLE
DELETE,,,res://addons/gdsql/tabs/sql_graph.tscn,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,SİL
SQL,,,"res://addons/gdsql/tabs/sql_graph.tscn
res://addons/gdsql/tabs/welcome/welcome.tscn",SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL,SQL
LINK,,,res://addons/gdsql/tabs/sql_graph.tscn,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK,LINK
Select source table to export,,,res://addons/gdsql/tabs/table_data_export.tscn,Select source table to export,选择导出源数据表,選擇匯出來源資料表,出力元テーブルを選択,내보낼 원본 테이블 선택,Seleccionar tabla de origen para exportar,Selecionar tabela de origem para exportar,Sélectionner la table source à exporter,Quelltabelle für Export auswählen,Выбрать исходную таблицу для экспорта,Seleziona tabella origine per esportazione,Wybierz tabelę źródłową do eksportu,Dışa aktarılacak kaynak tabloyu seç
Row Offset:,,,res://addons/gdsql/tabs/table_data_export.tscn,Row Offset:,行起始偏移量：,列位移：,行オフセット:,행 오프셋:,Desplazamiento de fila:,Deslocamento de Linha:,Décalage de ligne :,Zeilenverschiebung:,Смещение строк:,Spostamento riga:,Przesunięcie wiersza:,Satır Ofseti:
Count:,,,res://addons/gdsql/tabs/table_data_export.tscn,Count:,导出数量：,數量：,件数:,개수:,Cantidad:,Quantidade:,Nombre :,Anzahl:,Количество:,Quantità:,Ilość:,Adet:
Select file to import:,,,res://addons/gdsql/tabs/table_data_import.tscn,Select file to import:,选择导入文件：,選擇匯入檔案：,取り込みファイルを選択:,가져올 파일 선택:,Seleccionar archivo para importar:,Selecionar arquivo para importar:,Sélectionner le fichier à importer :,Zu importierende Datei auswählen:,Выбрать файл для импорта:,Seleziona file per importazione:,Wybierz plik do importu:,İçe aktarılacak dosyayı seç:
Data Samples:,,,res://addons/gdsql/tabs/table_data_import.tscn,Data Samples:,数据示例：,資料範例：,データサンプル:,데이터 샘플:,Muestra de datos:,Amostras de Dados:,Exemples de données :,Datenbeispiele:,Примеры данных:,Esempi dati:,Przykład danych:,Veri Örneği:
Select destination table and additional options:,,,res://addons/gdsql/tabs/table_data_import.tscn,Select destination table and additional options:,选择目标数据表及导入配置：,選擇目標資料表與額外設定：,出力先テーブルと詳細設定を選択:,대상 테이블 및 추가 옵션 선택:,Seleccionar tabla de destino y opciones adicionales:,Selecionar tabela de destino e opções adicionais:,Sélectionner la table de destination et les options supplémentaires :,Zieltabelle und zusätzliche Optionen auswählen:,Выбрать целевую таблицу и дополнительные параметры:,Seleziona tabella destinazione e opzioni aggiuntive:,Wybierz tabelę docelową i dodatkowe opcje:,Hedef tabloyu ve ek ayarları seç:
Use existing table:,,,res://addons/gdsql/tabs/table_data_import.tscn,Use existing table:,使用现有数据表：,使用現有資料表：,既存テーブルを使用:,기존 테이블 사용:,Usar tabla existente:,Usar tabela existente:,Utiliser une table existante :,Vorhandene Tabelle verwenden:,Использовать существующую таблицу:,Usa tabella esistente:,Użyj istniejącej tabeli:,Mevcut tabloyu kullan:
Create new table:,,,res://addons/gdsql/tabs/table_data_import.tscn,Create new table:,新建数据表：,建立新資料表：,新規テーブル作成:,새 테이블 생성:,Crear nueva tabla:,Criar nova tabela:,Créer une nouvelle table :,Neue Tabelle erstellen:,Создать новую таблицу:,Crea nuova tabella:,Utwórz nową tabelę:,Yeni tablo oluştur:
Enter table name without extension,,,res://addons/gdsql/tabs/table_data_import.tscn,Enter table name without extension,仅输入数据表名，无需后缀,僅輸入資料表名稱，不含副檔名,拡張子なしでテーブル名を入力,확장자 없이 테이블 이름 입력,Introduce el nombre de tabla sin extensión,Digite o nome da tabela sem extensão,Saisissez le nom de la table sans extension,Tabellenname ohne Erweiterung eingeben,Введите имя таблицы без расширения,Inserisci nome tabella senza estensione,Wpisz nazwę tabeli bez rozszerzenia,Uzantısız tablo adını gir
Truncate table before import,,,res://addons/gdsql/tabs/table_data_import.tscn,Truncate table before import,导入前清空数据表,匯入前清空資料表,取り込み前にテーブルを初期化,가져오기 전 테이블 초기화,Truncar tabla antes de importar,Truncar tabela antes da importação,Vider la table avant import,Tabelle vor Import leeren,Очистить таблицу перед импортом,Tronca tabella prima dell'import,Wyczyść tabelę przed importem,İçe aktarmadan önce tabloyu boşalt
Drop table if table exist,,,res://addons/gdsql/tabs/table_data_import.tscn,Drop table if table exist,若表存在则删除表,若資料表存在則刪除資料表,テーブルが存在する場合は削除,테이블이 존재하면 삭제,Eliminar tabla si existe,Excluir tabela se existir,Supprimer la table si elle existe,"Tabelle löschen, falls vorhanden","Удалить таблицу, если существует",Elimina tabella se esistente,"Usuń tabelę, jeśli istnieje",Varsa tabloyu sil
Select columns to import:,,,res://addons/gdsql/tabs/table_data_import.tscn,Select columns to import:,选择需要导入的字段：,選取要匯入的欄位：,取り込むフィールドを選択:,가져올 필드 선택:,Seleccionar campos para importar:,Selecionar colunas para importar:,Sélectionner les colonnes à importer :,Zu importierende Spalten auswählen:,Выберите столбцы для импорта:,Seleziona colonne da importare:,Wybierz kolumny do importu:,İçe aktarılacak alanları seç:
Source Column,,,res://addons/gdsql/tabs/table_data_import.tscn,Source Column,源字段,來源欄位,元フィールド,원본 필드,Campo de origen,Coluna de Origem,Colonne source,Quellspalte,Исходный столбец,Colonna origine,Kolumna źródłowa,Kaynak Alan
Dest Column,,,res://addons/gdsql/tabs/table_data_import.tscn,Dest Column,目标字段,目標欄位,出力先フィールド,대상 필드,Campo de destino,Coluna de Destino,Colonne destination,Zielspalte,Целевой столбец,Colonna destinazione,Kolumna docelowa,Hedef Alan
Data Type,,,res://addons/gdsql/tabs/table_data_import.tscn,Data Type,数据类型,資料型別,データ型,데이터 형식,Tipo de dato,Tipo de Dado,Type de données,Datentyp,Тип данных,Tipo dato,Typ danych,Veri Türü
Primary Key,,,res://addons/gdsql/tabs/table_data_import.tscn,Primary Key,主键,主索引鍵,主キー,기본 키,Clave primaria,Chave Primária,Clé primaire,Primärschlüssel,Первичный ключ,Chiave primaria,Klucz główny,Birincil Anahtar
Import,,,res://addons/gdsql/tabs/table_data_import.tscn,Import,开始导入,開始匯入,取り込み開始,가져오기,Importar,Importar,Importer,Importieren,Импорт,Importa,Importuj,İçe Aktar
Data File Path,,,res://addons/gdsql/tabs/table_inspector.tscn,Data File Path,数据文件路径,資料檔路徑,データファイルパス,데이터 파일 경로,Ruta de archivo de datos,Caminho do Arquivo de Dados,Chemin du fichier de données,Datendatei-Pfad,Путь к файлу данных,Percorso file dati,Ścieżka pliku danych,Veri Dosyası Yolu
Data File Size,,,res://addons/gdsql/tabs/table_inspector.tscn,Data File Size,数据文件大小,資料檔大小,データファイルサイズ,데이터 파일 크기,Tamaño de archivo de datos,Tamanho do Arquivo de Dados,Taille du fichier de données,Datendateigröße,Размер файла данных,Dimensione file dati,Rozmiar pliku danych,Veri Dosyası Boyutu
Total Data Count,,,res://addons/gdsql/tabs/table_inspector.tscn,Total Data Count,数据总行数,資料總筆數,総データ件数,전체 데이터 개수,Recuento total de datos,Contagem Total de Dados,Nombre total d'enregistrements,Gesamtanzahl der Datensätze,Общее количество записей,Totale record,Całkowita liczba rekordów,Toplam Veri Sayısı
Enter password to show this data,,,res://addons/gdsql/tabs/table_inspector.tscn,Enter password to show this data,输入密码查看明文数据,輸入密碼檢視完整資料,平文表示のためパスワードを入力,평문 조회를 위한 비밀번호 입력,Introduce contraseña para ver datos completos,Digite a senha para visualizar estes dados,Saisissez le mot de passe pour afficher les données,"Passwort eingeben, um vollständige Daten anzuzeigen",Введите пароль для просмотра полных данных,Inserisci password per visualizzare dati completi,"Wpisz hasło, aby wyświetlić pełne dane",Düz metin görüntülemek için şifre gir
Open Config File,,,res://addons/gdsql/tabs/table_inspector.tscn,Open Config File,打开配置文件,開啟組態檔,設定ファイルを開く,설정 파일 열기,Abrir archivo de configuración,Abrir Arquivo de Configuração,Ouvrir le fichier de configuration,Konfigurationsdatei öffnen,Открыть файл конфигурации,Apri file configurazione,Otwórz plik konfiguracji,Ayarlar Dosyasını Aç
debug,,,res://addons/gdsql/tabs/sql_graph_node/graph_node.gd:65,debug,调试,除錯,デバッグ,디버깅,Depuración,Depuração,Déboguer,Debuggen,Отладка,Debug,Debugowanie,Hata Ayıklama
enable,,,res://addons/gdsql/tabs/sql_graph_node/graph_node.gd:70,enable,启用,啟用,有効化,활성화,Habilitar,Habilitar,Activer,Aktivieren,Включить,Abilita,Włącz,Etkinleştir
Double Click,,,res://addons/gdsql/tabs/sql_graph_node/graph_node.gd:79,Double Click,双击,雙擊,ダブルクリック,더블 클릭,Doble clic,Duplo Clique,Double clic,Doppelklick,Двойной клик,Doppio clic,Podwójne kliknięcie,Çift Tıkla
Titlebar,,,res://addons/gdsql/tabs/sql_graph_node/graph_node.gd:79,Titlebar,标题栏,標題列,タイトルバー,제목 표시줄,Barra de título,Barra de Título,Barre de titre,Titelzeile,Заголовок,Barra del titolo,Pasek tytułu,Başlık Çubuğu
The welcome page is inspired by Dialogic.,,,res://addons/gdsql/tabs/welcome/welcome.tscn,The welcome page is inspired by Dialogic.,欢迎页面灵感来源于 Dialogic。,歡迎頁面靈感源自 Dialogic。,ウェルカムページはDialogicに着想を得ています。,환영 페이지는 Dialogic에서 영감을 받았습니다.,La página de bienvenida está inspirada en Dialogic.,A página de boas-vindas é inspirada na Dialogic.,La page d'accueil est inspirée par Dialogic.,Die Willkommensseite ist von Dialogic inspiriert.,Приветственная страница вдохновлена Dialogic.,La pagina di benvenuto è ispirata a Dialogic.,Strona powitalna jest inspirowana Dialogic.,Hoş geldin sayfası Dialogic'ten ilham almıştır.
"Welcome to GDSQL, a plugin that lets you easily manage datas for your game or software!",,,res://addons/gdsql/tabs/welcome/welcome.tscn,"Welcome to GDSQL, a plugin that lets you easily manage datas for your game or software!",欢迎使用GDSQL，一款轻量化游戏/软件数据库管理插件！,歡迎使用 GDSQL，輕鬆管理遊戲與軟體資料的外掛！,GDSQLへようこそ。ゲーム・ソフトのデータ管理を簡単にするプラグインです！,GDSQL에 오신 것을 환영합니다. 게임 및 소프트웨어 데이터 관리에 특화된 플러그인입니다!,"¡Bienvenido a GDSQL, un complemento para gestionar datos de juegos y software fácilmente!","Bem-vindo ao GDSQL, um plugin que facilita o gerenciamento de dados para seus jogos e softwares!","Bienvenue sur GDSQL, un plugin de gestion de données pour vos jeux et logiciels !","Willkommen bei GDSQL, einem Plugin zur einfachen Datenverwaltung für Spiele und Software!",Добро пожаловать в GDSQL — плагин для удобного управления данными игр и ПО!,"Benvenuto in GDSQL, plugin per gestire facilmente dati di giochi e software!","Witamy w GDSQL, wtyczce do łatwego zarządzania danymi gier i oprogramowania!",GDSQL'e hoş geldiniz. Oyun ve yazılım veri yönetimini kolaylaştıran bir eklenti!
GD,,,res://addons/gdsql/tabs/welcome/welcome.tscn,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD
Documentation,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Documentation,使用文档,使用文件,ドキュメント,문서,Documentación,Documentação,Documentation,Dokumentation,Документация,Documentazione,Dokumentacja,Dokümantasyon
Wiki,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Wiki,知识库,維基,Wiki,위키,Wiki,Wiki,Wiki,Wiki,Вики,Wiki,Wiki,Wiki
Getting Started,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Getting Started,快速上手,快速入門,クイックスタート,빠른 시작,Inicio rápido,Início Rápido,Démarrage rapide,Schnellstart,Быстрый старт,Avvio rapido,Szybki start,Hızlı Başlangıç
Get in Touch,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Get in Touch,联系作者,聯絡我們,お問い合わせ,문의하기,Contacto,Entre em Contato,Nous contacter,Kontakt,Связаться с нами,Contatti,Kontakt,İletişim
Bug / Request,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Bug / Request,问题反馈/功能建议,問題回報 / 功能建議,不具合・機能要望,오류/기능 요청,Informe de errores / solicitudes,Bug / Solicitação,Bug / Request,Bug / Request,Bug / Request,Bug / Request,Bug / Request,Hata / Özellik İsteği
QQ Group,,,res://addons/gdsql/tabs/welcome/welcome.tscn,QQ Group,QQ交流群,QQ 社群,QQグループ,QQ 그룹,Grupo QQ,Grupo QQ,Groupe QQ,QQ-Gruppe,QQ-группа,Gruppo QQ,Grupa QQ,QQ Grubu
Donate,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Donate,捐赠,捐贈,寄付,기부,Donar,Doar,Faire un don,Spenden,Пожертвовать,Donare,Przekaż darowiznę,Bağış
Buy me a coffee,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Buy me a coffee,请我喝咖啡,請我喝咖啡,コーヒー代を支援,커피 한 잔 사주기,Invítame a un café,Me pague um café,M'offrir un café,Mir einen Kaffee spendieren,Купить мне кофе,Offrimi un caffè,Kup mi kawę,Bana Kahve Ismarla
爱发电,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Afadian,爱发电,愛發電,愛発電,爱发电,爱发电,爱发电,爱发电,爱发电,爱发电,爱发电,爱发电,爱发电
Showcase,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Showcase,作品展示,作品展示,作品紹介,작품 전시,Proyectos destacados,Vitrine,Vitrine,Projektgalerie,Галерея проектов,Galleria progetti,Galeria projektów,Proje Galerisi
Other Addons,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Other Addons,其他插件,其他外掛,その他プラグイン,기타 애드온,Otros complementos,Outros Addons,Autres modules complémentaires,Weitere Add-ons,Другие дополнения,Altri componenti aggiuntivi,Inne wtyczki,Diğer Eklentiler
Random Tip,,,res://addons/gdsql/tabs/welcome/welcome.tscn,Random Tip,随机小贴士,隨機小提示,ランダムヒント,무작위 팁,Consejo aleatorio,Dica Aleatória,Conseil aléatoire,Zufälliger Tipp,Случайный совет,Consiglio casuale,Losowa porada,Rastgele İpucu
This is a random tip! This is a random tip!,,,res://addons/gdsql/tabs/welcome/welcome.tscn,This is a random tip! This is a random tip!,趣味随机提示！,這是隨機小提示！,ランダムなヒントです！,무작위 팁입니다!,¡Esto es un consejo aleatorio!,Esta é uma dica aleatória! Esta é uma dica aleatória!,Voici un conseil aléatoire !,Dies ist ein zufälliger Tipp!,Это случайный совет!,Questo è un consiglio casuale!,To jest losowa porada!,Bu rastgele bir ipucu!
1.0.0.0,,,res://addons/gdsql/tabs/welcome/welcome.tscn,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0
Check all,,,,Check all, 全选,全選,すべて選択,전체 선택,Seleccionar todo,Selecionar tudo,Tout cocher,Alles auswählen,Выбрать всё,Seleziona tutto,Zaznacz wszystko,Tümünü seç
New Row,,,,New Row,新建行,新增列,新しい行,새 행,Nueva fila,Nova linha,Nouvelle ligne,Neue Zeile,Новая строка,Nuova riga,Nowy wiersz,Yeni satır
Column Name,,,,Column Name,字段名稱,欄位名稱,フィールド名,필드 이름,Nombre del campo,Nome do campo,Nom du champ,Feldname,Имя поля,Nome campo,Nazwa pola,Alan adı
Hint,,,,Inspector Property Hint,检查器属性提示,檢查器屬性提示,インスペクタープロパティヒント,인스펙터 속성 힌ト,Sugerencia de propiedades del inspector,Dica de propriedades do inspetor,Astuce des propriétés de l'inspecteur,Inspektor-Eigenschaften-Hinweis,Подсказка по свойствам инспектора,Suggerimento proprietà dell'ispettore,Wskazówka właściwości inspektora,Müfettör özellik ipucu
